code,funding_commencement_year,grant_status,funding_at_announcement,funding_current,administering_organisation,chief_investigators,chief_investigators_orcids
DP250101050,2025,Active,875853,911495.0,The University of Sydney,A/Prof Thomas Roberts; Dr Claudia Keitel; A/Prof Tina Bell; Dr Ali Khoddami; Dr Rebecca Cross; A/Prof Floris van Ogtrop,0000-0003-3831-3240; 0000-0003-3101-7529; 0000-0002-1690-2725; 0000-0002-1774-0000; 0000-0003-3582-5996; 0000-0002-5505-3869
DP250102563,2025,Active,340744,365971.0,Curtin University,A/Prof Nadim Darwish; Prof Simone Ciampi; A/Prof Melanie MacGregor,0000-0002-6565-1723; 0000-0002-8272-8454; 0000-0002-8671-181X
DP250101069,2025,Active,459602,474214.0,The University of Melbourne,Prof Michael Smith; Prof David Frazier,0000-0002-3446-2516
DP250104864,2025,Active,737676,764870.0,The University of Melbourne,Dr Christopher Goodman; Prof Stuart Ralph,0000-0002-8923-7594; 0000-0003-0114-7808
DP250100497,2025,Active,597818,622908.0,The University of Melbourne,Prof Christina Lim; Prof Elaine Wong; Prof Ampalavanapillai Nirmalathas,0000-0002-2561-3482; 0000-0001-7328-5359
DP250102461,2025,Active,668000,692684.0,The University of Sydney,Dr Jemma Todd; Prof Ann Louise Sharpe,0000-0002-4962-0847; 0000-0002-8790-6272
DP250101763,2025,Active,339908,353550.0,The Australian National University,Prof Iman Shames; Dr Timothy Molloy; Dr Philipp Braun,0000-0001-7308-3546; 0000-0002-6797-5617; 0000-0002-9619-1483
DP250100855,2025,Active,507271,529267.0,The University of Queensland,Prof Bronwyn Laycock; Prof Susanne Schmidt; Prof Steven Pratt; Prof Paul Lant; Dr Ian Levett,0000-0002-0251-844X; 0000-0001-8369-1238; 0000-0003-1030-9039; 0000-0002-5164-686X
DP250102432,2025,Active,697582,724322.0,The University of Queensland,Prof Bronwyn Laycock; Prof Paul Lant; A/Prof Paul Dennis; Prof Steven Pratt; Dr Clement Matthew Chan,0000-0002-0251-844X; 0000-0002-4895-3105; 0000-0003-1030-9039; 0000-0001-5464-4790
DP250100536,2025,Active,619780,643854.0,Swinburne University of Technology,Prof Chengfei Liu,
DP250100860,2025,Active,509809,530725.0,Griffith University,Prof Shu-Kay Angus Ng; A/Prof Hien Nguyen,0000-0002-6865-9384; 0000-0002-9958-432X
DP250103482,2025,Active,584498,606744.0,James Cook University,Prof David Bourne; Prof David Miller; Dr Laura Rix,0000-0002-1492-8710; 0000-0002-1888-6597
DP250101028,2025,Active,722523,749467.0,Flinders University,Prof Krasimir Vasilev; Prof John Hayball; Dr Richard Bright; A/Prof Kerrilyn Diener,0000-0002-3089-4506; 0000-0003-1988-0725; 0000-0001-8417-5542
DP250104587,2025,Active,410028,424103.0,La Trobe University,A/Prof Piers Gooding; Prof Neeraj Gill; Prof Chris Maylea,0000-0001-5743-5708; 0000-0003-2106-9843; 0000-0003-3688-0487
DP250103363,2025,Active,241436,254537.0,The University of Melbourne,Dr Daniel Fan,0000-0002-9765-3379
DP250100022,2025,Active,670775,705854.0,The University of Sydney,Prof Clare McArthur; Prof Peter Banks; Dr Malcolm Possell; Dr Catherine Price,0000-0002-7867-414X; 0000-0001-5376-8433; 0000-0001-9631-2479
DP250102383,2025,Active,770078,800200.0,The University of Western Australia,Prof Li Ju; A/Prof Chunnong Zhao; Em/Prof David Blair; Dr Carl Blair,0000-0001-5825-2401; 0000-0002-1501-2405; 0000-0003-4566-6888
DP250101469,2025,Active,614000,639051.0,The University of New South Wales,Prof Till Boecking; Dr James Walsh; Prof Paul Curmi,0000-0003-1165-3122; 0000-0003-0447-2323
DP250104479,2025,Active,497847,517881.0,Queensland University of Technology,Prof Dr Aijun Du,0000-0002-3369-3283
DP250102552,2025,Active,602667,626206.0,The University of Melbourne,Dr Mario Kieburg; Prof Peter Forrester,0000-0001-8864-6022
DP250102623,2025,Active,561127,596166.0,The University of Queensland,A/Prof Garth Stahl; Prof James Smith; Prof Murray Drummond; A/Prof Kootsy (Justin) Canuto; Dr Mair Underwood,0000-0002-1800-8495; 0000-0002-7348-4881; 0000-0002-7971-4625
