code,scheme_name,funding_commencement_year,grant_status,funding_at_announcement,funding_current,administering_organisation,for_primary_codes,for_primary_names,for_all_codes,for_all_names,fellowship_holders,fellowship_holders_orcids,lead_ci_orcid,lead_ci_citations_openalex_through_award_year,lead_ci_openalex_author_id,lead_ci_citation_source
IL250100007,Industry Laureate Fellowships,2025,Not yet accepted,4017211,,,4004,Chemical Engineering,4004; 400404; 401605; 401806,Chemical Engineering; Electrochemical Energy Storage and Conversion; Functional Materials; Nanomanufacturing,Prof John Zhu,,,,,
IL250100010,Industry Laureate Fellowships,2025,Not yet accepted,3947234,,,4609,Information Systems,460204; 4609; 460902; 461106,Fuzzy Computation; Information Systems; Decision Support and Group Support Systems; Semi- and Unsupervised Learning,Prof Jie Lu,,,,,
IL250100012,Industry Laureate Fellowships,2025,Not yet accepted,3908200,,,4513,"Pacific Peoples Culture, Language and History",440602; 4513; 451309; 451319,"Development Geography; Pacific Peoples Culture, Language and History; Pacific Peoples Land, Culture and Identity; Pacific Peoples Ways of Knowing, Being and Doing",Prof Karen McNamara,0000-0002-4511-8403,0000-0002-4511-8403,5839,https://openalex.org/A5048638847,openalex_counts_by_year
IL250100019,Industry Laureate Fellowships,2025,Not yet accepted,3985106,,,3101,Biochemistry and Cell Biology,3101; 310101; 410504,Biochemistry and Cell Biology; Analytical Biochemistry; Surface Water Quality Processes and Contaminated Sediment Assessment,Prof Ewa Goldys,,,,,
IL250100027,Industry Laureate Fellowships,2025,Not yet accepted,3212500,,,4104,Environmental Management,330110; 330404; 4104; 410401,Sustainable Architecture; Land Use and Environmental Planning; Environmental Management; Conservation and Biodiversity,Prof Sarah Bekessy,,,,,
IL250100060,Industry Laureate Fellowships,2025,Not yet accepted,3957431,,,4007,"Control Engineering, Mechatronics and Robotics",300501; 4007; 400702; 460507,"Aquaculture; Control Engineering, Mechatronics and Robotics; Automation Engineering; Information Extraction and Fusion",Prof Yongsheng Gao,,,,,
IL250100072,Industry Laureate Fellowships,2025,Not yet accepted,3849597,,,3107,Microbiology,310208; 3107; 310703; 400411,Translational and Applied Bioinformatics; Microbiology; Microbial Ecology; Water Treatment Processes,Prof Nicholas Ashbolt,0000-0002-3853-0096,0000-0002-3853-0096,16693,https://openalex.org/A5038812300,openalex_counts_by_year
IL250100082,Industry Laureate Fellowships,2025,Not yet accepted,3522756,,,4006,Communications Engineering,4006; 400608,Communications Engineering; Wireless Communication Systems and Technologies (Incl. Microwave and Millimetrewave),Prof Yonghui Li,,,,,
FT250100003,ARC Future Fellowships,2025,Active,1285428,1292011.0,The University of Newcastle,5205,Social and Personality Psychology,5205; 520505,Social and Personality Psychology; Social Psychology,Prof Belinda Liddell,0000-0002-8036-5864,0000-0002-8036-5864,7142,https://openalex.org/A5031856973,openalex_counts_by_year
FT250100023,ARC Future Fellowships,2025,Active,1286828,1293423.0,Deakin University,4302,"Heritage, Archive and Museum Studies",4302; 430202; 430205; 430208,"Heritage, Archive and Museum Studies; Critical Heritage, Museum and Archive Studies; Heritage and Cultural Conservation; Intangible Heritage",Prof Benjamin Isakhan,0000-0002-5153-7110,0000-0002-5153-7110,927,https://openalex.org/A5091134612,openalex_counts_by_year
FT250100040,ARC Future Fellowships,2025,Active,1115510,1121059.0,The University of Melbourne,4901,Applied Mathematics,4901; 490102,Applied Mathematics; Biological Mathematics,A/Prof Douglas Brumley,0000-0003-0587-0251,0000-0003-0587-0251,1754,https://openalex.org/A5045512307,openalex_counts_by_year
FT250100051,ARC Future Fellowships,2025,Active,1111567,1117158.0,The University of New South Wales,3109,Zoology,3109; 310901; 310906; 320903,Zoology; Animal Behaviour; Animal Neurobiology; Central Nervous System,Dr Miriam Matamales,0000-0001-9978-0091,0000-0001-9978-0091,1826,https://openalex.org/A5065832532,openalex_counts_by_year
FT250100055,ARC Future Fellowships,2025,Active,1131800,1137601.0,Monash University,4410,Sociology,440612; 4410; 441007,Urban Geography; Sociology; Sociology and Social Studies of Science and Technology,Dr Jathan Sadowski,,,,,
FT250100072,ARC Future Fellowships,2025,Active,1131404,1137198.0,The University of Queensland,4403,Demography,4403; 440303; 440305,Demography; Migration; Population Trends and Policies,Dr Aude Bernard,,,,,
FT250100092,ARC Future Fellowships,2025,Active,1282368,1288963.0,Macquarie University,4605,Data Management and Data Science,4605; 460501; 460502; 460510,Data Management and Data Science; Data Engineering and Data Science; Data Mining and Knowledge Discovery; Recommender Systems,Prof Lina Yao,0000-0002-4149-839X,0000-0002-4149-839X,16308,https://openalex.org/A5052731721,openalex_counts_by_year
FT250100095,ARC Future Fellowships,2025,Active,1286680,1293275.0,La Trobe University,4501,"Aboriginal and Torres Strait Islander Culture, Language and History",430321; 440509; 4501; 450107,"North American History; Women'S Studies (Incl. Girls' Studies); Aboriginal and Torres Strait Islander Culture, Language and History; Aboriginal and Torres Strait Islander History",A/Prof Karen Hughes,0000-0002-0444-7657,0000-0002-0444-7657,99,https://openalex.org/A5013197875,openalex_counts_by_year
FT250100099,ARC Future Fellowships,2025,Active,1127074,1132860.0,The Australian National University,4303,Historical Studies,4303; 430308,"Historical Studies; European History (Excl. British, Classical Greek and Roman)",Dr Filip Slaveski,,,,,
FT250100107,ARC Future Fellowships,2025,Active,941151,945788.0,University of Technology Sydney,5204,Cognitive and Computational Psychology,5204; 520401; 520403,"Cognitive and Computational Psychology; Cognition; Learning, Motivation and Emotion",Dr Poppy Watson,0000-0001-7454-413X,0000-0001-7454-413X,2196,https://openalex.org/A5045780777,openalex_counts_by_year
FT250100113,ARC Future Fellowships,2025,Active,1130122,1135918.0,The Australian National University,4104,Environmental Management,310308; 4104; 410401; 410407,Terrestrial Ecology; Environmental Management; Conservation and Biodiversity; Wildlife and Habitat Management,Dr Ben Scheele,,,,,
FT250100116,ARC Future Fellowships,2025,Active,1272992,1279390.0,The University of Melbourne,3801,Applied Economics,3801; 380109,Applied Economics; Industry Economics and Industrial Organisation,Prof David Byrne,0000-0003-2133-0917,0000-0003-2133-0917,1990,https://openalex.org/A5053028903,openalex_counts_by_year
FT250100128,ARC Future Fellowships,2025,Active,1238320,1244846.0,The University of Melbourne,5003,Philosophy,500204; 5003; 500309,History and Philosophy of Science; Philosophy; Metaphysics,A/Prof Samuel Baron,0009-0007-4188-8359,0009-0007-4188-8359,0,,openalex_counts_by_year
FT250100132,ARC Future Fellowships,2025,Active,1285732,1292326.0,University of Technology Sydney,4008,Electrical Engineering,4008; 400805,"Electrical Engineering; Electrical Energy Transmission, Networks and Systems",Prof Md Jahangir Hossain,0000-0001-7602-3581,0000-0001-7602-3581,11221,https://openalex.org/A5039813871,openalex_counts_by_year
FT250100159,ARC Future Fellowships,2025,Active,1173569,1179068.0,Macquarie University,4605,Data Management and Data Science,4605; 460502; 460505; 460506,"Data Management and Data Science; Data Mining and Knowledge Discovery; Database Systems; Graph, Social and Multimedia Data",A/Prof Jia Wu,0000-0002-1371-5801,0000-0002-1371-5801,0,https://openalex.org/A5119268416,openalex_counts_by_year
FT250100160,ARC Future Fellowships,2025,Active,1175732,1181758.0,The University of Sydney,4904,Pure Mathematics,4904; 490401; 490404; 490405,Pure Mathematics; Algebra and Number Theory; Combinatorics and Discrete Mathematics (Excl. Physical Combinatorics); Group Theory and Generalisations,A/Prof Anne Thomas,0000-0001-9074-4553,0000-0001-9074-4553,403,https://openalex.org/A5073382193,openalex_counts_by_year
FT250100162,ARC Future Fellowships,2025,Active,1118947,1124711.0,The Australian National University,5106,Nuclear and Plasma Physics,5106; 510601,Nuclear and Plasma Physics; Nuclear Physics,Dr Edward Simpson,,,,,
FT250100168,ARC Future Fellowships,2025,Active,974744,979733.0,The University of Western Australia,5108,Quantum Physics,400912; 510601; 5108; 510805,Quantum Engineering Systems (Incl. Computing and Communications); Nuclear Physics; Quantum Physics; Quantum Technologies,Dr Maxim Goryachev,0000-0002-0257-4054,0000-0002-0257-4054,3271,https://openalex.org/A5106084715,openalex_counts_by_year
FT250100171,ARC Future Fellowships,2025,Active,965638,970619.0,Monash University,3406,Physical Chemistry,340103; 3406; 340604,Electroanalytical Chemistry; Physical Chemistry; Electrochemistry,Dr Cameron Bentley,0000-0001-7867-6068,0000-0001-7867-6068,4620,https://openalex.org/A5005521200,openalex_counts_by_year
FT250100180,ARC Future Fellowships,2025,Active,1111800,1117355.0,The University of Sydney,4016,Materials Engineering,4016; 401602; 401609,Materials Engineering; Composite and Hybrid Materials; Polymers and Plastics,Dr Shuying Wu,,,,,
FT250100182,ARC Future Fellowships,2025,Active,973124,978120.0,RMIT University,4005,Civil Engineering,4005; 400505; 400510,Civil Engineering; Construction Materials; Structural Engineering,Dr Rajeev Roychand,0000-0001-9457-1602,0000-0001-9457-1602,3687,https://openalex.org/A5003800246,openalex_counts_by_year
FT250100191,ARC Future Fellowships,2025,Active,1286884,1293479.0,The University of Sydney,3101,Biochemistry and Cell Biology,3101; 310105; 320404; 400307,"Biochemistry and Cell Biology; Cellular Interactions (Incl. Adhesion, Matrix, Cell Wall); Cellular Immunology; Mechanobiology",A/Prof Maté Biro,0000-0001-5852-3726,0000-0001-5852-3726,3382,https://openalex.org/A5072078340,openalex_counts_by_year
FT250100199,ARC Future Fellowships,2025,Active,1107368,1112998.0,The University of Sydney,4903,Numerical and Computational Mathematics,4903; 490302; 490399,Numerical and Computational Mathematics; Numerical Analysis; Numerical and Computational Mathematics Not Elsewhere Classified,Dr Tiangang Cui,0000-0002-4840-8545,0000-0002-4840-8545,1170,https://openalex.org/A5067931953,openalex_counts_by_year
FT250100204,ARC Future Fellowships,2025,Active,961544,966492.0,The University of Adelaide,4016,Materials Engineering,400408; 4016; 401605; 401807,Reaction Engineering (Excl. Nuclear Reactions); Materials Engineering; Functional Materials; Nanomaterials,Dr Wenjie Tian,0000-0002-9896-1154,0000-0002-9896-1154,6695,https://openalex.org/A5064360333,openalex_counts_by_year
FT250100206,ARC Future Fellowships,2025,Active,1130885,1136686.0,Monash University,5202,Biological Psychology,5202; 520203,Biological Psychology; Cognitive Neuroscience,A/Prof Sharna Jamadar,0000-0001-7222-7181,0000-0001-7222-7181,3235,https://openalex.org/A5056707559,openalex_counts_by_year
FT250100208,ARC Future Fellowships,2025,Active,1274832,1281272.0,The University of New South Wales,4904,Pure Mathematics,4904; 490401,Pure Mathematics; Algebra and Number Theory,A/Prof Alina Ostafe,0000-0001-7398-0589,0000-0001-7398-0589,595,https://openalex.org/A5008253632,openalex_counts_by_year
FT250100217,ARC Future Fellowships,2025,Active,1273311,1279900.0,University of Wollongong,4803,International and Comparative Law,410404; 4803; 480309,Environmental Management; International and Comparative Law; Ocean Law and Governance,A/Prof Michelle Voyer,0000-0001-6170-9994,0000-0001-6170-9994,3121,https://openalex.org/A5056893898,openalex_counts_by_year
FT250100226,ARC Future Fellowships,2025,Active,1263040,1269599.0,RMIT University,4016,Materials Engineering,4016; 401605; 401807,Materials Engineering; Functional Materials; Nanomaterials,Prof Dawei Su,0000-0002-3972-8205,0000-0002-3972-8205,17897,https://openalex.org/A5000129210,openalex_counts_by_year
FT250100237,ARC Future Fellowships,2025,Active,976696,981702.0,La Trobe University,3108,Plant Biology,300103; 3108; 310803,Agricultural Molecular Engineering of Nucleic Acids and Proteins; Plant Biology; Plant Cell and Molecular Biology,Dr Dugald Reid,0000-0001-9291-9775,0000-0001-9291-9775,2955,https://openalex.org/A5015976988,openalex_counts_by_year
FT250100239,ARC Future Fellowships,2025,Active,1130976,1136776.0,The University of Queensland,4016,Materials Engineering,4016; 401605; 401609,Materials Engineering; Functional Materials; Polymers and Plastics,Dr Ruirui Qiao,0000-0002-8351-7093,0000-0002-8351-7093,8066,https://openalex.org/A5047227853,openalex_counts_by_year
FT250100252,ARC Future Fellowships,2025,Active,1280036,1286559.0,The University of Sydney,3102,Bioinformatics and Computational Biology,3102; 310201; 310204,Bioinformatics and Computational Biology; Bioinformatic Methods Development; Genomics and Transcriptomics,A/Prof Pengyi Yang,,,,,
FT250100270,ARC Future Fellowships,2025,Active,1124643,1130430.0,The University of Melbourne,4701,Communication and Media Studies,460806; 4701; 470102,Human-Computer Interaction; Communication and Media Studies; Communication Technology and Digital Media Studies,Dr Bjørn Nansen,0000-0001-6215-8768,0000-0001-6215-8768,1,https://openalex.org/A5064427344,openalex_counts_by_year
FT250100305,ARC Future Fellowships,2025,Active,1067196,1072427.0,Monash University,5003,Philosophy,5003; 500306; 500321,Philosophy; Ethical Theory; Social and Political Philosophy,Dr Suzy Killmister,0000-0003-1082-783X,0000-0003-1082-783X,546,https://openalex.org/A5089797067,openalex_counts_by_year
FT250100311,ARC Future Fellowships,2025,Active,1286884,1293479.0,Griffith University,3707,Hydrology,3707; 370701; 370703,Hydrology; Contaminant Hydrology; Groundwater Hydrology,Prof Matthew Currell,0000-0003-0210-800X,0000-0003-0210-800X,5092,https://openalex.org/A5016594948,openalex_counts_by_year
FT250100313,ARC Future Fellowships,2025,Active,1131704,1137505.0,The University of Queensland,3101,Biochemistry and Cell Biology,3101; 310102; 310204; 310503,"Biochemistry and Cell Biology; Cell Development, Proliferation and Death; Genomics and Transcriptomics; Developmental Genetics (Incl. Sex Determination)",Dr Katarzyna Koltowska,0000-0002-6841-8900,0000-0002-6841-8900,1508,https://openalex.org/A5057751537,openalex_counts_by_year
FT250100327,ARC Future Fellowships,2025,Active,1117348,1123085.0,The Australian National University,3706,Geophysics,370508; 370511; 3706; 370604,Resource Geoscience; Structural Geology and Tectonics; Geophysics; Geodynamics,Dr Grace Shephard,0000-0002-3459-4500,0000-0002-3459-4500,5924,https://openalex.org/A5004083328,openalex_counts_by_year
FT250100334,ARC Future Fellowships,2025,Active,976696,981702.0,Monash University,3109,Zoology,3109; 310910; 320404; 320902,Zoology; Animal Physiology - Systems; Cellular Immunology; Cellular Nervous System,Dr Leon Smyth,0000-0001-9861-3574,0000-0001-9861-3574,2238,https://openalex.org/A5002593625,openalex_counts_by_year
FT250100335,ARC Future Fellowships,2025,Active,1285126,1291693.0,Monash University,3304,Urban and Regional Planning,3304; 330408; 330409,"Urban and Regional Planning; Strategic, Metropolitan and Regional Planning; Transport Planning",A/Prof Liton Kamruzzaman,0000-0001-7113-942X,0000-0001-7113-942X,9506,https://openalex.org/A5034994970,openalex_counts_by_year
FT250100337,ARC Future Fellowships,2025,Active,1277027,1283621.0,The University of Queensland,3509,"Transportation, Logistics and Supply Chains",3509; 350902; 350908; 400512,"Transportation, Logistics and Supply Chains; Intelligent Mobility; Road Transportation and Freight Services; Transport Engineering",Prof Zuduo Zheng,0000-0002-5289-2106,0000-0002-5289-2106,6495,https://openalex.org/A5000972645,openalex_counts_by_year
FT250100341,ARC Future Fellowships,2025,Active,1131800,1137601.0,The University of Queensland,3106,Industrial Biotechnology,3106; 310606; 310607,Industrial Biotechnology; Industrial Molecular Engineering of Nucleic Acids and Proteins; Nanobiotechnology,A/Prof Seth Cheetham,0000-0001-6428-3175,0000-0001-6428-3175,3,https://openalex.org/A5118093282,openalex_counts_by_year
FT250100360,ARC Future Fellowships,2025,Active,1234510,1240964.0,Queensland University of Technology,3302,Building,3302; 330202,Building; Building Construction Management and Project Planning,Prof Bo Xia,0000-0001-7694-4743,0000-0001-7694-4743,8159,https://openalex.org/A5044226655,openalex_counts_by_year
FT250100365,ARC Future Fellowships,2025,Active,1130932,1136726.0,Monash University,3214,Pharmacology and Pharmaceutical Sciences,310110; 310910; 3214; 321401,Receptors and Membrane Biology; Animal Physiology - Systems; Pharmacology and Pharmaceutical Sciences; Basic Pharmacology,Dr Chengxue Qin,0000-0003-2169-2686,0000-0003-2169-2686,3198,https://openalex.org/A5016692843,openalex_counts_by_year
FT250100371,ARC Future Fellowships,2025,Active,1286884,1293479.0,RMIT University,4104,Environmental Management,350201; 4104; 410404; 410405,Environment and Climate Finance; Environmental Management; Environmental Management; Environmental Rehabilitation and Restoration,Prof Peter Macreadie,0000-0001-7362-0882,0000-0001-7362-0882,16841,https://openalex.org/A5020824771,openalex_counts_by_year
FT250100383,ARC Future Fellowships,2025,Active,1272875,1279326.0,The University of Adelaide,4401,Anthropology,360102; 4401; 440107; 450116,Art History; Anthropology; Social and Cultural Anthropology; Aboriginal and Torres Strait Islander Visual Arts and Crafts,Prof John Carty,,,,,
FT250100401,ARC Future Fellowships,2025,Active,1282038,1288549.0,University of Wollongong,4406,Human Geography,330405; 4406; 440609,Public Participation and Community Engagement; Human Geography; Rural and Regional Geography,A/Prof Sonia Graham,0000-0003-4195-4559,0000-0003-4195-4559,2900,https://openalex.org/A5063826254,openalex_counts_by_year
FT250100412,ARC Future Fellowships,2025,Active,974124,979117.0,The University of Adelaide,3799,Other Earth Sciences,370303; 370504; 3799; 379901,Isotope Geochemistry; Marine Geoscience; Other Earth Sciences; Earth System Sciences,Dr Stefan Loehr,0000-0002-1242-552X,0000-0002-1242-552X,1821,https://openalex.org/A5089879286,openalex_counts_by_year
FT250100413,ARC Future Fellowships,2025,Active,1111565,1117237.0,La Trobe University,4410,Sociology,4410; 441012,Sociology; Sociology of Inequalities,Dr Amy Pennay,0000-0002-6271-8996,0000-0002-6271-8996,3561,https://openalex.org/A5068440678,openalex_counts_by_year
FT250100415,ARC Future Fellowships,2025,Active,1131187,1136987.0,The University of Melbourne,3107,Microbiology,310407; 3107; 310703; 310706,Host-Parasite Interactions; Microbiology; Microbial Ecology; Virology,Dr Michelle Wille,0000-0002-5629-0196,0000-0002-5629-0196,4338,https://openalex.org/A5022062973,openalex_counts_by_year
FT250100438,ARC Future Fellowships,2025,Active,1219808,1225958.0,The University of Melbourne,4801,Commercial Law,4801; 480103; 480105; 480302,Commercial Law; Corporations and Associations Law; Not-For-Profit Law; Comparative Law,Prof Rosemary Langford,0000-0001-5304-3416,0000-0001-5304-3416,106,https://openalex.org/A5069659528,openalex_counts_by_year
FT250100446,ARC Future Fellowships,2025,Active,1279427,1285947.0,Macquarie University,4408,Political Science,4408; 440803; 440808,Political Science; Comparative Government and Politics; International Relations,A/Prof Charles Butcher,0000-0003-2652-1229,0000-0003-2652-1229,792,https://openalex.org/A5066118007,openalex_counts_by_year
FT250100448,ARC Future Fellowships,2025,Active,1276884,1283377.0,Murdoch University,4603,Computer Vision and Multimedia Computation,4603; 460304; 461103,Computer Vision and Multimedia Computation; Computer Vision; Deep Learning,Prof Hamid Laga,0000-0002-4758-7510,0000-0002-4758-7510,3963,https://openalex.org/A5002077138,openalex_counts_by_year
FT250100453,ARC Future Fellowships,2025,Active,1131799,1137600.0,The University of Sydney,4410,Sociology,4410; 441011,Sociology; Sociology of Health,Dr Barbara Barbosa Neves,0000-0002-4490-4322,0000-0002-4490-4322,3033,https://openalex.org/A5043528816,openalex_counts_by_year
FT250100459,ARC Future Fellowships,2025,Active,1051000,1056351.0,The University of Melbourne,4608,Human-Centred Computing,460202; 460205; 4608; 460810,Autonomous Agents and Multiagent Systems; Intelligent Robotics; Human-Centred Computing; Social Robotics,A/Prof Wafa Johal,0000-0001-9118-0454,0000-0001-9118-0454,1611,https://openalex.org/A5048175000,openalex_counts_by_year
FT250100460,ARC Future Fellowships,2025,Active,975427,980415.0,Monash University,3101,Biochemistry and Cell Biology,3101; 310110; 310112; 320404,Biochemistry and Cell Biology; Receptors and Membrane Biology; Structural Biology (Incl. MacRomolecular Modelling); Cellular Immunology,Dr Benjamin Gully,0000-0002-8197-0871,0000-0002-8197-0871,1166,https://openalex.org/A5057616184,openalex_counts_by_year
FT250100495,ARC Future Fellowships,2025,Active,1286884,1293479.0,Griffith University,4402,Criminology,420604; 4402; 440205; 440211,"Injury Prevention; Criminology; Criminological Theories; Police Administration, Procedures and Practice",A/Prof Lyndel Bates,0000-0001-9898-2003,0000-0001-9898-2003,1210,https://openalex.org/A5028222881,openalex_counts_by_year
FT250100503,ARC Future Fellowships,2025,Active,1258732,1265147.0,Macquarie University,5003,Philosophy,5003; 500305; 500311,Philosophy; Epistemology; Philosophical Psychology (Incl. Moral Psychology and Philosophy of Action),Prof Mark Alfano,0000-0001-5879-8033,0000-0001-5879-8033,4480,https://openalex.org/A5002852096,openalex_counts_by_year
FT250100508,ARC Future Fellowships,2025,Active,969312,974253.0,The University of Melbourne,3204,Immunology,3204; 320404,Immunology; Cellular Immunology,Dr Pirooz Zareie,0000-0001-6000-2305,0000-0001-6000-2305,735,https://openalex.org/A5017749886,openalex_counts_by_year
FT250100520,ARC Future Fellowships,2025,Active,1285398,1291971.0,Western Sydney University,4104,Environmental Management,310308; 410102; 4104; 410401,Terrestrial Ecology; Ecological Impacts of Climate Change and Ecological Adaptation; Environmental Management; Conservation and Biodiversity,Prof Rachael Gallagher,0000-0002-4680-8115,0000-0002-4680-8115,11807,https://openalex.org/A5039749882,openalex_counts_by_year
FT250100521,ARC Future Fellowships,2025,Active,1131448,1137247.0,University of South Australia,4005,Civil Engineering,4005; 400510,Civil Engineering; Structural Engineering,Dr Jun-Jie Zeng,0000-0003-0893-6623,0000-0003-0893-6623,6948,https://openalex.org/A5081893095,openalex_counts_by_year
FT250100529,ARC Future Fellowships,2025,Active,970859,975855.0,Deakin University,4206,Public Health,4206; 420603; 420699; 440712,Public Health; Health Promotion; Public Health Not Elsewhere Classified; Social Policy,Dr Hannah Pitt,0000-0002-4259-6186,0000-0002-4259-6186,1738,https://openalex.org/A5035495909,openalex_counts_by_year
FT250100533,ARC Future Fellowships,2025,Active,1131556,1137356.0,La Trobe University,3204,Immunology,3204; 320404; 320407,Immunology; Cellular Immunology; Innate Immunity,Dr Lisa Mielke,0000-0002-9522-9320,0000-0002-9522-9320,6686,https://openalex.org/A5005124824,openalex_counts_by_year
FT250100563,ARC Future Fellowships,2025,Active,1285285,1291869.0,Monash University,5202,Biological Psychology,5202; 520203,Biological Psychology; Cognitive Neuroscience,Prof Adeel Razi,0000-0002-0779-9439,0000-0002-0779-9439,8941,https://openalex.org/A5045981641,openalex_counts_by_year
FT250100565,ARC Future Fellowships,2025,Active,975401,980406.0,Monash University,4018,Nanotechnology,4018; 401805; 401809; 510204,"Nanotechnology; Nanofabrication, Growth and Self Assembly; Nanophotonics; Photonics, Optoelectronics and Optical Communications",Dr Haoran Ren,0000-0002-2885-875X,0000-0002-2885-875X,6283,https://openalex.org/A5053189435,openalex_counts_by_year
FT250100569,ARC Future Fellowships,2025,Active,970253,975242.0,The University of Queensland,4701,Communication and Media Studies,4701; 470102; 470207,Communication and Media Studies; Communication Technology and Digital Media Studies; Cultural Theory,Dr Luke Munn,0000-0002-1018-7433,0000-0002-1018-7433,999,https://openalex.org/A5003334504,openalex_counts_by_year
FT250100584,ARC Future Fellowships,2025,Active,1243232,1249565.0,The University of New South Wales,3509,"Transportation, Logistics and Supply Chains",3509; 350908,"Transportation, Logistics and Supply Chains; Road Transportation and Freight Services",A/Prof Meead Saberi,0000-0002-6526-239X,0000-0002-6526-239X,3435,https://openalex.org/A5013479513,openalex_counts_by_year
FT250100595,ARC Future Fellowships,2025,Active,1131404,1137204.0,The University of Melbourne,4019,Resources Engineering and Extractive Metallurgy,400502; 4019; 401902,Civil Geotechnical Engineering; Resources Engineering and Extractive Metallurgy; Geomechanics and Resources Geotechnical Engineering,Dr Samintha Perera,0000-0002-6784-0544,0000-0002-6784-0544,10034,https://openalex.org/A5049425101,openalex_counts_by_year
FT250100606,ARC Future Fellowships,2025,Active,1207000,1212925.0,The University of Adelaide,4006,Communications Engineering,4006; 400601,Communications Engineering; Antennas and Propagation,Prof Withawat Withayachumnankul,0000-0003-1155-567X,0000-0003-1155-567X,10748,https://openalex.org/A5064275416,openalex_counts_by_year
FT250100607,ARC Future Fellowships,2025,Active,973944,978942.0,The University of Queensland,4016,Materials Engineering,4016; 401605; 401805,"Materials Engineering; Functional Materials; Nanofabrication, Growth and Self Assembly",Dr Miaoqiang Lyu,0000-0003-0212-4325,0000-0003-0212-4325,9519,https://openalex.org/A5012029695,openalex_counts_by_year
FT250100610,ARC Future Fellowships,2025,Active,1286677,1293271.0,The University of Queensland,4008,Electrical Engineering,4008; 400803; 400805,"Electrical Engineering; Electrical Energy Generation (Incl. Renewables, Excl. Photovoltaics); Electrical Energy Transmission, Networks and Systems",A/Prof Ruifeng Yan,0000-0002-5779-9090,0000-0002-5779-9090,3437,https://openalex.org/A5055140400,openalex_counts_by_year
FT250100612,ARC Future Fellowships,2025,Active,1286884,1293479.0,The University of New South Wales,4701,Communication and Media Studies,4701; 470103; 470209,Communication and Media Studies; Environmental Communication; Environment and Culture,Prof Tema Milstein,0000-0002-4954-7045,0000-0002-4954-7045,924,https://openalex.org/A5079321078,openalex_counts_by_year
FT250100621,ARC Future Fellowships,2025,Active,1126122,1131921.0,The University of Queensland,3101,Biochemistry and Cell Biology,3101; 310105; 310503,"Biochemistry and Cell Biology; Cellular Interactions (Incl. Adhesion, Matrix, Cell Wall); Developmental Genetics (Incl. Sex Determination)",Dr Anne Karine Lagendijk,0000-0003-1246-1608,0000-0003-1246-1608,2913,https://openalex.org/A5046524929,openalex_counts_by_year
FT250100646,ARC Future Fellowships,2025,Active,953619,958614.0,The University of Queensland,3404,Medicinal and Biomolecular Chemistry,310913; 3404; 340401; 340407,Invertebrate Biology; Medicinal and Biomolecular Chemistry; Biologically Active Molecules; Proteins and Peptides,Dr Andrew Walker,0000-0003-1296-6593,0000-0003-1296-6593,1979,https://openalex.org/A5044203426,openalex_counts_by_year
FT250100652,ARC Future Fellowships,2025,Active,1131588,1137388.0,The University of New South Wales,4604,Cybersecurity and Privacy,4604; 460406,Cybersecurity and Privacy; Software and Application Security,Dr Siqi Ma,,,,,
FT250100662,ARC Future Fellowships,2025,Active,940000,944818.0,The University of Newcastle,5101,Astronomical Sciences,5101; 510109,Astronomical Sciences; Stellar Astronomy and Planetary Systems,Dr Thomas Evans-Soma,0000-0001-5442-1300,0000-0001-5442-1300,52264,https://openalex.org/A5050627999,openalex_counts_by_year
FT250100670,ARC Future Fellowships,2025,Active,1286884,1293479.0,The University of Western Australia,5205,Social and Personality Psychology,520108; 520403; 5205; 520503,"Testing, Assessment and Psychometrics; Learning, Motivation and Emotion; Social and Personality Psychology; Personality and Individual Differences",A/Prof Kristin Gainey,0000-0002-2245-6880,0000-0002-2245-6880,5192,https://openalex.org/A5002720959,openalex_counts_by_year
FT250100684,ARC Future Fellowships,2025,Active,1063528,1069021.0,The University of Queensland,4603,Computer Vision and Multimedia Computation,400304; 4603; 460304; 460306,Biomedical Imaging; Computer Vision and Multimedia Computation; Computer Vision; Image Processing,Dr Shekhar Chandra,0000-0001-6544-900X,0000-0001-6544-900X,1442,https://openalex.org/A5083545460,openalex_counts_by_year
FT250100699,ARC Future Fellowships,2025,Active,1129536,1135326.0,Griffith University,4016,Materials Engineering,4016; 401605; 401805,"Materials Engineering; Functional Materials; Nanofabrication, Growth and Self Assembly",Dr Munkhbayar Batmunkh,0000-0002-7493-4186,0000-0002-7493-4186,6478,https://openalex.org/A5083705602,openalex_counts_by_year
FT250100734,ARC Future Fellowships,2025,Active,792390,796299.0,Curtin University,3407,Theoretical and Computational Chemistry,340202; 3407; 340701; 340704,Crystallography; Theoretical and Computational Chemistry; Computational Chemistry; Theoretical Quantum Chemistry,Dr Peter Spackman,0000-0002-6532-8571,0000-0002-6532-8571,6936,https://openalex.org/A5088566301,openalex_counts_by_year
FT250100737,ARC Future Fellowships,2025,Active,1273179,1279629.0,James Cook University,4505,"Aboriginal and Torres Strait Islander Peoples, Society and Community",410103; 4505; 450519,"Human Impacts of Climate Change and Human Adaptation; Aboriginal and Torres Strait Islander Peoples, Society and Community; Aboriginal and Torres Strait Islander Perspectives",A/Prof Felecia Watkin Lui,0000-0002-8402-3650,0000-0002-8402-3650,731,https://openalex.org/A5090719717,openalex_counts_by_year
