code,scheme_name,funding_commencement_year,grant_status,funding_at_announcement,funding_current,administering_organisation,for_primary_codes,for_primary_names,for_all_codes,for_all_names,fellowship_holders,fellowship_holders_orcids,lead_ci_orcid,lead_ci_citations_openalex_through_award_year,lead_ci_openalex_author_id,lead_ci_citation_source
DE240100386,Discovery Early Career Researcher Award,2024,Active,435875,476508.0,The Australian National University,5001,Applied Ethics,5001; 500101; 500106,Applied Ethics; Bioethics; Medical Ethics,Dr John Noel Viana,0000-0002-4004-7546,0000-0002-4004-7546,768,https://openalex.org/A5075518232,openalex_counts_by_year
DE240100388,Discovery Early Career Researcher Award,2024,Active,437977,0.0,The University of Western Australia,3107,Microbiology,3107; 310701; 310704,Microbiology; Bacteriology; Microbial Genetics,Dr Daniel Knight,0000-0002-9480-4733,0000-0002-9480-4733,3221,https://openalex.org/A5085338042,openalex_counts_by_year
DE240100398,Discovery Early Career Researcher Award,2024,Active,349886,382440.0,The University of Queensland,3103,Ecology,3103; 310302; 319902; 490502,Ecology; Community Ecology (Excl. Invasive Species Ecology); Global Change Biology; Biostatistics,Dr Timothy Staples,0000-0002-8550-2661,0000-0002-8550-2661,726,https://openalex.org/A5061021539,openalex_counts_by_year
DE240100408,Discovery Early Career Researcher Award,2024,Active,446411,487983.0,Griffith University,4017,Mechanical Engineering,401210; 4017; 401705; 401801,Microfluidics and Nanofluidics; Mechanical Engineering; Microelectromechanical Systems (Mems); Micro- and Nanosystems,Dr Tuan-Khoa Nguyen,0000-0003-1271-9576,0000-0003-1271-9576,2482,https://openalex.org/A5043852771,openalex_counts_by_year
DE240100410,Discovery Early Career Researcher Award,2024,Active,392161,429516.0,Macquarie University,4303,Historical Studies,4303; 430302,Historical Studies; Australian History,Dr Isobelle Barrett Meyering,0000-0001-6846-8505,0000-0001-6846-8505,115,https://openalex.org/A5028900119,openalex_counts_by_year
DE240100416,Discovery Early Career Researcher Award,2024,Active,452727,493445.0,Griffith University,4701,Communication and Media Studies,4701; 470106; 470107,Communication and Media Studies; Media Industry Studies; Media Studies,Dr Bridget Backhaus,0000-0002-8244-2237,0000-0002-8244-2237,190,https://openalex.org/A5009188377,openalex_counts_by_year
DE240100417,Discovery Early Career Researcher Award,2024,Closed,452347,0.0,University of Technology Sydney,4018,Nanotechnology,4018; 401805; 401809; 510204,"Nanotechnology; Nanofabrication, Growth and Self Assembly; Nanophotonics; Photonics, Optoelectronics and Optical Communications",Dr Son Tung Ha,0000-0002-5475-8365,0000-0002-5475-8365,5445,https://openalex.org/A5083304185,openalex_counts_by_year
DE240100433,Discovery Early Career Researcher Award,2024,Closed,390627,0.0,Swinburne University of Technology,5101,Astronomical Sciences,5101; 510102; 510103; 510106,Astronomical Sciences; Astronomical Instrumentation; Cosmology and Extragalactic Astronomy; High Energy Astrophysics and Galactic Cosmic Rays,Dr Shivani Bhandari,0000-0003-3460-506X,0000-0003-3460-506X,4599,https://openalex.org/A5090083121,openalex_counts_by_year
DE240100447,Discovery Early Career Researcher Award,2024,Active,438847,479444.0,The Australian National University,4904,Pure Mathematics,4904; 490401; 490403; 490404,"Pure Mathematics; Algebra and Number Theory; Category Theory, K Theory, Homological Algebra; Combinatorics and Discrete Mathematics (Excl. Physical Combinatorics)",Dr Asilata Bapat,0000-0002-7218-5281,0000-0002-7218-5281,60,https://openalex.org/A5003286058,openalex_counts_by_year
DE240100449,Discovery Early Career Researcher Award,2024,Active,426600,466019.0,Monash University,3405,Organic Chemistry,3405; 340502; 340503; 401609,Organic Chemistry; Natural Products and Bioactive Compounds; Organic Chemical Synthesis; Polymers and Plastics,Dr Christopher Smedley,0000-0001-5110-2574,0000-0001-5110-2574,1637,https://openalex.org/A5001195282,openalex_counts_by_year
