code,funding_commencement_year,grant_status,funding_at_announcement,funding_current,administering_organisation,chief_investigators,chief_investigators_orcids
DP160103905,2016,Closed,329700,346589.0,The University of Sydney,Prof Ashley Ward,0000-0003-0842-533X
DP160103910,2016,Closed,390000,409820.0,The University of Queensland,Prof Aleksandar Rakic; Prof Stephen Wilson; Dr Thomas Taimre; Prof H. Peter Soyer,
DP160103915,2016,Closed,378700,397420.0,The Australian National University,Prof Lindell Bromham; Prof Marcel Cardillo,0000-0001-9855-0817
DP160103919,2016,Closed,390000,410133.0,The University of New South Wales,Prof Wei Gao; Prof Yong-Lin Pi; Dr Sawekchai Tangaramvong,
DP160103922,2016,Closed,290000,304113.0,The University of Newcastle,Prof Patrick Tang,0000-0002-9305-116X
DP160103934,2016,Closed,410000,430992.0,Monash University,Prof Dinh Phung,0000-0002-9977-8247
DP160103942,2016,Closed,359400,375565.0,The Australian National University,Prof Marcel Cardillo,0000-0001-9855-0817
DP160103949,2016,Closed,420000,440564.0,The University of Melbourne,Em/Prof Geoff Stevens; A/Prof Dalton Harvie,0000-0002-5788-4682; 0000-0002-8501-1344
DP160103958,2016,Closed,592700,627781.0,The University of Queensland,Prof Linda Richards; A/Prof Rodrigo Suarez,0000-0002-7590-7390; 0000-0001-5153-5652
DP160103961,2016,Closed,310000,325598.0,Monash University,Prof Hugh Blackburn,0000-0003-3469-5237
DP160103963,2016,Closed,482100,506785.0,The University of Melbourne,Prof Glenn Browning,0000-0002-0903-2469
DP160103978,2016,Closed,405000,424050.0,The University of Sydney,Prof Richard De Dear; A/Prof Densil Cabrera; A/Prof Jungsoo Kim,0000-0002-3414-290X; 0000-0003-2966-0371; 0000-0003-4012-1600
DP160103993,2016,Closed,646400,684244.0,The University of New South Wales,Prof Boris Martinac,
DP160104011,2016,Closed,590316,619619.0,The University of Melbourne,Prof Patrick Baker,
DP160104018,2016,Closed,310000,325755.0,The University of Melbourne,Prof Iven Mareels; Prof Denny Oetomo,0000-0002-9832-5959; 0000-0002-2680-6489
DP160104025,2016,Closed,320700,337077.0,The University of Queensland,Prof Glenn King; Dr Eivind Undheim,0000-0002-2308-2200; 0000-0002-8667-3999
DP160104057,2016,Closed,173596,180585.0,The University of New South Wales,Dr Will Felps,
DP160104058,2016,Closed,295000,119866.0,The University of Queensland,Prof Heng Tao Shen,
DP160104069,2016,Closed,195000,204754.0,The University of Melbourne,Prof Anne Marsh,
DP160104075,2016,Closed,300000,315246.0,The University of Queensland,Prof Xue Li,
DP160104081,2016,Closed,440000,466268.0,The University of Sydney,Prof Eduardo Nebot; Prof Fabio Ramos,0000-0002-2996-2188
DP160104083,2016,Closed,375000,393924.0,Swinburne University of Technology,Prof Leon Sterling; Prof Timothy Miller; Prof Sonja Pedell; Dr Antonette Mendoza,0000-0003-4908-6063; 0000-0003-3741-7777; 0000-0002-6903-1169
DP160104088,2016,Closed,399000,419293.0,The University of Sydney,Prof Michael Kassiou,
DP160104089,2016,Closed,310000,325598.0,Griffith University,Prof Qin Li; Prof Dongyuan Zhao,0000-0002-3934-6004
DP160104092,2016,Closed,435000,457107.0,The University of New South Wales,Prof Mark Bradford; Prof Hamid Valipour,
DP160104095,2016,Closed,393100,414259.0,The University of Newcastle,Prof Dr Shin-Chan Han; Prof Dr William Featherstone,
DP160104106,2016,Closed,444800,468779.0,The University of Sydney,Prof Joel Mackay,0000-0001-7508-8033
DP160104119,2016,Closed,157037,136910.0,The University of Sydney,Prof Richard Miles,
DP160104148,2016,Closed,480000,504315.0,The University of Sydney,Prof Seok-Hee Hong; Prof Peter Eades,
DP160104149,2016,Closed,340000,357123.0,University of Southern Queensland,Prof Hao Wang; Dr Zuhua Zhang,
DP160104162,2016,Closed,401000,421380.0,The University of Queensland,Prof David Copland; Prof Katie McMahon; Prof Jeff Coombes,0000-0002-6357-615X
DP160104172,2016,Closed,495700,523759.0,The University of Sydney,Em/Prof Peter Lay,0000-0002-3232-2720
DP160104173,2016,Closed,358900,377242.0,The University of Sydney,Prof Simon Ho; Prof Nathan Lo,0000-0002-0361-2307; 0000-0003-2176-2840
DP160104175,2016,Closed,482200,506814.0,The University of Western Australia,Prof Daniel Green; Prof Robert McLaughlin,
DP160104178,2016,Closed,601150,630559.0,The Australian National University,Prof Peter Butterworth,0000-0002-1531-3881
DP160104193,2016,Closed,455700,478962.0,The University of Melbourne,Prof Alan Connelly; Prof Steven Petrou,0000-0002-4960-6375
DP160104195,2016,Closed,315000,331008.0,The Australian National University,Prof Tamás (Tom) Gedeon; Prof Robert McKay,
DP160104196,2016,Closed,441295,463739.0,Monash University,Prof Thomas Davis,0000-0003-2581-4986
DP160104211,2016,Closed,291882,306716.0,The University of Western Australia,Prof David Badcock,0000-0002-4517-435X
DP160104223,2016,Closed,270000,283722.0,Monash University,Prof Pathegama Ranjith; A/Prof Asadul Haque,0000-0003-0094-7141; 0000-0002-8781-5944
DP160104233,2016,Closed,660000,706340.0,Monash University,A/Prof Nemai Karmakar; A/Prof Christoph Rüdiger,0000-0003-4375-4446
DP160104292,2016,Active,305500,321104.0,The University of Queensland,Prof You-Gan Wang,0000-0003-0901-4671
DP160104298,2016,Closed,336000,352608.0,University of South Australia,Prof Allison Cowin; Prof Dr Christine Charles; Prof Roderick Boswell; Dr Endre Szili,0000-0003-2885-2080
DP160104310,2016,Closed,350000,367630.0,The University of Sydney,Prof Itai Einav,
DP160104316,2016,Closed,362900,381504.0,The University of Sydney,Prof Pulin Gong; Prof Paul Martin,0000-0002-5166-9658
DP160104322,2016,Closed,804700,860675.0,The Australian National University,Prof Michael Sherburn,0000-0001-5098-0703
DP160104340,2016,Closed,420000,441345.0,University of Technology Sydney,Prof Guoxiu Wang; Prof Andrew McDonagh; Dr Bing Sun,0000-0002-9502-1175; 0000-0002-4365-486X
DP160104342,2016,Closed,368542,369111.0,The University of Queensland,Dr Zoltan Neufeld,
DP160104359,2016,Closed,517400,545598.0,The University of Queensland,Prof Massimo Hilliard,
DP160104362,2016,Closed,461494,485074.0,Monash University,Prof Nicolas Voelcker; Dr Beatriz Prieto Simon,0000-0002-1536-7804; 0000-0001-8016-1565
DP160104365,2016,Closed,360000,378295.0,Monash University,Prof Jian-Feng Nie,
DP160104366,2016,Closed,482300,507074.0,The University of Melbourne,Prof Marcus Pandy; Prof Kay Crossley; Prof Rezaul Begg; Prof Peter Dower,0000-0001-9234-1782; 0000-0001-5892-129X; 0000-0002-3195-8591; 0000-0002-9791-7776
DP160104368,2016,Closed,240000,252197.0,The University of Sydney,Prof Pulin Gong,
DP160104378,2016,Closed,432000,453782.0,The University of New South Wales,Prof Zachary Steel; A/Prof David Berle; Prof Derrick Silove; Mr Dusan Hadzi-Pavlovic,0000-0002-4861-2220
DP160104383,2016,Closed,463997,487938.0,The University of New South Wales,A/Prof Stephen Colbran; Prof Leslie Field; A/Prof Graham Ball,0000-0002-0716-2286
DP160104402,2016,Closed,144178,121194.0,Macquarie University,Hon Prof Christoph Antons,0000-0002-4851-5172
DP160104411,2016,Closed,435700,457966.0,The University of Queensland,Prof Glenn King,0000-0002-2308-2200
DP160104427,2016,Closed,399100,419628.0,Monash University,Prof Peter Currie; Dr James Godwin; Dr Catherine Boisvert,0000-0002-0618-7270
DP160104434,2016,Closed,447700,470403.0,The University of Western Australia,Prof Zed Rengel,0000-0003-3433-161X
DP160104442,2016,Closed,534602,562138.0,The University of Queensland,Prof David Fairlie,0000-0002-7856-8566
DP160104456,2016,Closed,260000,272901.0,Monash University,A/Prof Xuchuan Jiang,0000-0003-1606-145X
DP160104462,2016,Closed,180000,175252.0,Western Sydney University,Prof Yang Xiang,
DP160104473,2016,Closed,340425,358043.0,Curtin University,Prof Michael Bunce,0000-0002-0302-4206
DP160104497,2016,Closed,433100,455058.0,The University of Western Australia,Prof Jacqueline Batley; Prof David Edwards,0000-0001-7599-6760
DP160104500,2016,Active,455000,89322.0,Curtin University,Prof Brad Yu; Prof Brian Anderson,
DP160104502,2016,Closed,334000,351070.0,The University of Melbourne,Prof Joachim Rubinstein; A/Prof Craig Hodgson; Prof Stephan Tillmann,0000-0002-5712-0113; 0000-0002-3872-6822; 0000-0001-6731-0327
DP160104515,2016,Closed,557000,585276.0,The University of New South Wales,Prof Boualem Benatallah; Prof Salil Kanhere,0000-0002-1835-3475
DP160104519,2016,Closed,300448,258656.0,Western Sydney University,Prof Andrew McWilliam; Prof Lisa Palmer,0000-0003-3571-5404
DP160104557,2016,Closed,500000,524630.0,Curtin University,Prof Hong Hao; Prof Faiz Shaikh,0000-0001-7509-8653; 0000-0002-5234-0619
DP160104564,2016,Closed,228000,238559.0,The University of Sydney,Prof Christopher Wright,
DP160104566,2016,Closed,530000,561597.0,The University of New South Wales,Prof Jinhong Yuan; A/Prof Mark Reed,0000-0002-5794-493X
DP160104575,2016,Closed,687000,442420.0,Monash University,Prof Udo Bach,
DP160104602,2016,Closed,360000,378295.0,The University of Sydney,Prof Qing Li,0000-0002-7930-2145
DP160104621,2016,Closed,435000,457107.0,The Australian National University,Prof Hark Hoe Tan,0000-0002-7816-537X
DP160104625,2016,Closed,457600,480884.0,The University of New South Wales,Prof Nigel Lovell; Prof Francois Ladouceur; Dr Amr Al Abed,
DP160104626,2016,Closed,305500,321104.0,The University of Sydney,Prof John Cannon,
DP160104628,2016,Closed,390000,409820.0,The University of New South Wales,Prof Chongmin Song,
DP160104632,2016,Closed,340000,357357.0,The University of Adelaide,Prof Zonghan Xie,
DP160104637,2016,Closed,348962,366574.0,The University of Adelaide,Prof Martin Hand; Prof Chris Clark; Dr Derrick Hasterok; Prof Tracy Rushmer; Prof Steven Reddy,0000-0003-3743-9706; 0000-0001-9982-7849; 0000-0002-8257-7975; 0000-0003-0192-2384; 0000-0002-4726-5714
DP160104638,2016,Closed,327800,344769.0,Monash University,A/Prof Craig Smith,
DP160104640,2016,Closed,300000,315246.0,The University of Sydney,Prof Gregory Hancock; A/Prof Cao Hung Pham,0000-0002-5503-5839
DP160104641,2016,Closed,350100,365028.0,The University of Adelaide,Prof Andrea Yool; Dr Sabrina Heng,0000-0003-1283-585X
DP160104661,2016,Closed,320000,336419.0,University of Technology Sydney,Prof Chengqing Wu,
DP160104662,2016,Closed,419552,441070.0,Curtin University,Prof Ba-Ngu Vo; Prof Reza Hoseinnezhad,0000-0003-4202-7722; 0000-0001-9525-1467
DP160104679,2016,Closed,585100,619871.0,Monash University,Prof Joanne Etheridge; A/Prof Alison Funston,0000-0002-4320-6434
DP160104685,2016,Closed,342200,360358.0,The University of Sydney,Prof Mary Myerscough; A/Prof Charles Macaskill,
DP160104692,2016,Closed,156345,145104.0,The University of Adelaide,Prof Joanne Wallis,0000-0002-8767-917X
DP160104699,2016,Closed,224367,221124.0,The Australian National University,Em/Prof Joan Beaumont,
